Topic,Count,Name
-1,75,-1_school_activity_activities_extracurricular
0,872,0_electoral_vote_college_electoral college
1,410,1_emotions_technology_computer_facial
2,398,2_venus_planet_earth_author
3,325,3_face_mars_aliens_landform
4,302,4_students_online_school_classes
5,292,5_community_service_community service_help
6,238,6_summer_students_project_projects
7,209,7_advice_people_multiple_opinions
8,205,8_cars_driverless_car_driverless cars
9,181,9_phones_cell_cell phones_school
10,180,10_cars_car_usage_smog
11,124,11_average_sports_students_grade
12,77,12_driving_phone_texting_cell
13,76,13_seagoing_program_animals_cowboys
14,59,14_luke_seagoing_animals_program
15,51,15_electoral_college_vote_electoral college
16,50,16_extracurricular_activities_activity_students
17,41,17_extracurricular_activity_students_school
18,14,18_sports_like_students_principal
19,12,19_car_cars_people_get
